,Field 75,Description
0,account_currency,Currency that is used by your ad account.
1,account_id,"The ID number of your ad account, which groups your advertising activity. Your ad account includes your campaigns, ads and billing. Default"
2,account_name,"The name of your ad account, which groups your advertising activity. Your ad account includes your campaigns, ads and billing."
3,action_values,The total value of all conversions attributed to your ads.
4,actions,"The total number of actions people took that are attributed to your ads. Actions may include engagement, clicks or conversions."
5,ad_id,The unique ID of the ad you're viewing in reporting. Default
6,ad_name,The name of the ad you're viewing in reporting.
7,adset_id,"The unique ID of the ad set you're viewing in reporting. An ad set is a group of ads that share the same budget, schedule, delivery optimization and targeting. Default"
8,adset_name,"The name of the ad set you're viewing in reporting. An ad set is a group of ads that share the same budget, schedule, delivery optimization and targeting."
9,attribution_setting,"The default attribution window to be used when the attribution result is calculated. Each ad set has its own attribution setting value. The attribution setting for a campaign or an account is calculated based on existing ad sets. Returns mixed, indicating multiple attribution settings, skan, indicating SKAdNetwork attribution of iOS 14 app install campaigns, and na, indicating no ad set in a campaign or account. The attribution_setting field only returns values when use_unified_attribution_setting is set to true."
10,buying_type,"The method by which you pay for and target ads in your campaigns: through dynamic auction bidding, fixed-price bidding, or reach and frequency buying. This field is currently only visible at the campaign level."
11,campaign_id,The unique ID number of the ad campaign you're viewing in reporting. Your campaign contains ad sets and ads. Default
12,campaign_name,The name of the ad campaign you're viewing in reporting. Your campaign contains ad sets and ads.
13,canvas_avg_view_percent,"The average percentage of the Instant Experience that people saw. An Instant Experience is a screen that opens after someone interacts with your ad on a mobile device. It may include a series of interactive or multimedia components, including video, images product catalog and more."
14,canvas_avg_view_time,"The average total time, in seconds, that people spent viewing an Instant Experience. An Instant Experience is a screen that opens after someone interacts with your ad on a mobile device. It may include a series of interactive or multimedia components, including video, images product catalog and more."
15,catalog_segment_value,The total value of all conversions from your catalog segment attributed to your ads.
16,clicks,The number of clicks on your ads.
17,conversion_rate_ranking,"A ranking of your ad's expected conversion rate. Your ad is ranked against ads with your optimization goal that competed for the same audience. Possible values include BELOW_AVERAGE_10, BELOW_AVERAGE_20, BELOW_AVERAGE_35, AVERAGE, ABOVE_AVERAGE, or UNKNOWN if there's not enough information about the ad. This metric is an ad relevance diagnostic and does not apply to campaigns or ad sets, only ads."
18,conversion_values,"The total value of all conversions across all channels (i.e. website, mobile app, offline, and on-facebook) attributed to your ads. Visit the Ads Action Stats reference for a list of conversion values."
19,conversions,"The total number of conversions across all channels (i.e. website, mobile app, offline, and on-facebook) attributed to your ads. Visit the Ads Action Stats reference for a list of conversions."
20,converted_product_quantity,The number of products purchased which are recorded by your merchant partner's pixel or app SDK for a given product ID and driven by your ads. Has to be used together with converted product ID breakdown.
21,converted_product_value,The value of purchases recorded by your merchant partner's pixel or app SDK for a given product ID and driven by your ads. Has to be used together with converted product ID breakdown.
22,cost_per_action_type,The average cost of a relevant action.
23,cost_per_conversion,"The average cost of a conversion across all channels (i.e. website, mobile app, offline, and on-facebook). Conversions include contact, customize_product, donate, find_location, schedule, start_trial, submit_application, subscribe, recurring_subscription_payment, cancel_subscription, ad_click, ad_impression."
